_ID,_VALUE,Comment:string,CN:string,CNT:string,EN:string,KR:string,TH:string,ID:string,PT:string
LOC_MAIL_CARD_REWARD_TITLE,1,邮件,月卡礼包，剩余{0}天,月卡禮包，剩餘{0}天,"Monthly Card Gift, {0} d left",카프라 패스 혜택 - 혜택 수령 잔여 일수: {0}일 ,"Monthly Card Gift, เหลือ{0}วัน","Hadiah Monthly Card, {0} Hari Tersisa","Presente de cartão mensal, {0} d restante(s)"
LOC_MAIL_CARD_REWARD_CONTENT_DISCARD,2,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_NAME_MYSTERIOUS,3,,神秘组织,【RO仙境傳說：我的戰術】營運團隊,Mysterious Syndicate,GM앨리스,องค์กรลึกลับ,Mysterious Syndicate,Sindicato Misterioso
LOC_MAIL_VIP_REWARD_TITLE,4,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_VIP_REWARD_CONTENT,5,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_GUILD_DISSOLUTION,6,,你的公会已经被会长解散,你的公會已經被會長解散,The guild master has disbanded the guild.,길드장이 길드를 해산했습니다.,หัวหน้ากิลด์ยุบกิลด์แล้ว,Kamu telah dikeluarkan dari Guild.,O mestre da guilda desfez a guilda.
LOC_MAIL_GUILD,7,,公会邮件,公會信件,Guild Mail,길드 우편,จดหมายกิลด์,Kamu telah didakwa.,Mensagens da guilda
LOC_MAIL_GUILD_BE_KICKED_OUT,8,,你已经被踢出公会,你已經被踢出公會,You have been banished from the guild.,길드에서 추방당했습니다.,คุณถูกเตะออกจากกิลด์,,Você foi banido(a) da guilda.
LOC_MAIL_GUILD_BE_IMPEACHED,9,,你已经被弹劾,你已經被彈劾,You have been impeached.,해임되었습니다.,คุณถูกยื่นฟ้อง,,Você foi afastado.
LOC_MAIL_ARENA_HISTORY_TITLE,10,,斗技场历史排名奖励,競技場歷史排名獎勵,Arena Rank History Reward,아레나 역대 랭킹 보상,รางวัลอันดับอารีน่าในประวัติศาสตร์,Hadiah Arena Rank History,Recompensa de histórico de ranque da arena
LOC_MAIL_ARENA_HISTORY_CONTENT,11,,因为其他玩家在竞技场中失利，你的历史排名有所提升,因為其他玩家在競技場中失利，你的歷史排名有所提升,Your rank has increased because of other players' losses.,다른 유저가 아레나에서 실력을 발휘하지 못해 유저님 랭킹이 상승했습니다.,อันดับคุณเพิ่มขึ้นเนื่องจากผู้เล่นท่านอื่นแพ้,Peringkatmu telah meningkat dikarenakan terdapat pemain lain yang mengalami kekalahan.,Seu ranque diminuiu devido às derrotas dos outros jogadores.
LOC_MAIL_VIP_COMPLEMENT_TITLE,12,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_VIP_COMPLEMENT_CONTENT,13,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_TEAM_TOURNAMEN_TITLE,14,,无尽之塔试炼队友奖励,無盡之塔試煉隊友獎勵,Endless Tower Party Member Reward,엔들리스 타워 파티원 보상,รางวัลสมาชิกหอคอยไม่สิ้นสุด,Hadiah Endless Tower Party Member,Recompensa de membro do grupo da Torre Infinita
LOC_MAIL_TEAM_TOURNAMEN_CONTENT,15,,{0} 昨日无尽之塔通关{1}层，您将获得如下奖励,{0} 昨日無盡之塔通關{1}層，您將獲得以下獎勵,{0} Cleared Endless Tower Floor {1} yesterday. You will receive the following.,{0}님이 어제 엔들리스 타워 {1}층을 클리어하여 다음 보상을 획득합니다.,{0} เมื่อวานคุณได้รับรางวัลตามนี้ เนื่องจากผ่านด่านหอคอยไม่สิ้นสุด {1}ชั้น,{0} telah berhasil menyelesaikan Endless Tower Lantai {1} kemarin. Kamu akan menerima hadiah sebagai berikut.,{0} Concluiu o andar {1} da Torre Infinita ontem. Você receberá as recompensas a seguir.
LOC_MAIL_TEAM_TOURNAMEN_SENDER,16,,无尽之塔管理员,無盡之塔管理員,Endless Tower Manager,엔들리스 타워 관리자,ผู้จัดการหอคอยไม่สิ้นสุด,Endless Tower Manager,Administrador da Torre Infinita
LOC_MAIL_TEAM_TOURNAMEN_CONTENT_2,17,,队伍解散，提前发放队友奖励，{0} 无尽之塔通关{1}层，您将获得如下奖励,隊伍解散，提前發放隊友獎勵，{0} 無盡之塔通關{1}層，您將獲得以下獎勵,Party disbanded. Party Member reward will be issued. {0} Cleared Endless Tower Floor {1}. The following will be issued.,파티가 해산되어 파티원 보상이 지급됩니다. {0}님이 엔들리스 타워 {1}층 클리어하여 다음 보상을 획득합니다.,ปาร์ตี้ถูกยุบแล้ว รางวัลสมาชิกในปาร์ตี้ยังสามารถรับได้ คุณสามารถรับรางวัลได้โดยผ่านด่าน {0} หอคอยไม่สิ้นสุด {1}ชั้น,Party telah dibubarkan. Hadiah Anggota Party akan dibagikan. {0} berhasil menyelesaikan Endless Tower Lantai {1}. Akan menerima sebagai berikut.,Grupo desfeito. As recompensas dos membros do grupo serão enviadas. {0} concluiu o andar {1} da Torre Infinita. As recompensas a seguir serão enviadas.
LOC_MAIL_WEB_CHARGE_TITLE,18,,网页充值到账,網頁儲值到帳,Webpage Charging Succeeded,웹페이지 충전 완료,เติมเงินบนเว็บไซต์สำเร็จ,TopUp Berhasil,A página foi carregada com êxito.
LOC_MAIL_WEB_CHARGE_CONTENT,19,,您的网页充值已到账，请领取,您的網頁儲值已到帳，請領取,Webpage charging succeeded. Please collect.,웹페이지 충전 완료! 지금 바로 수령하세요.,เติมเงินบนเว็บไซต์สำเร็จ อย่าลืมกดรับนะ,TopUp Berhasil. Silahkan Diterima.,A página foi carregada com êxito. Colete.
LOC_MAIL_TEAM_BATTLE_RANKING_TITLE,20,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_TEAM_BATTLE_RANKING_CONTENT,21,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_POWER_RANKINGS_TITLE,22,,战力排名活动奖励,戰力排名活動獎勵,CP Rank Event Reward,전투력 랭킹 이벤트 보상,รางวัลอันดับCP(อีเว้นท์),CP Rank Event Reward,Recompensa de evento de ranque de PC
LOC_MAIL_POWER_RANKINGS_CONTENT,23,,你在战力排名活动中获得{0}名，得以下奖励。,你在戰力排名活動中獲得{0}名，得以下獎勵。,Attained Rank {0} in the CP Rank event. You will receive the following.,전투력 랭킹 이벤트에서 {0}위를 차지해 다음 보상을 획득합니다.,คุณได้รับรางวัลตามนี้ เนื่องจากอันดับคุณถึง {0} ในอีเว้นท์อันดับCP,{0} Peringkat yang berhasil dicapai saat CP Rank event berlangsung. Kamu akan menerima hadiah sebagai berikut.,Ranque {0} alcançado no evento de ranque de PC. Você receberá as recompensas a seguir.
LOC_ARENA_DAILYREWARD_MAIL_TITLE,24,竞技场,斗技场每日排名奖励,競技場每日排名獎勵,Arena Daily Rank Reward,아레나 일일 랭킹 보상,รางวัลอันดับอารีน่าประจำวัน,Hadiah Harian Arena,Recompensa de ranque diário da arena
LOC_ARENA_DAILYREWARD_MAIL_BODY_DISCARD,25,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_ARENA_DAILYREWARD_MAIL_SENDER,26,,斗技场管理委员会,競技場管理委員會,Arena Management Committee,아레나 관리위원회,Arena Master,Komite Arena Management,Comitê de administração da arena
LOC_SERVER_GUILD_TEAM_LEAVE_TEAM,27,公会试炼,{0} 退出了队伍,{0} 退出了隊伍,{0} has left the party.,{0} 님이 파티를 탈퇴했습니다.,{0} ได้ออกจากปาร์ตี้แล้ว,{0} telah keluar dari Party.,{0} saiu do grupo.
LOC_SERVER_GUILD_TEAM_BECOME_TEAM_LEADER,28,,{0} 成为了队长,{0} 成為了隊長,{0} is now the party leader.,{0} 님이 파티장이 됐습니다.,{0} เป็นหัวหน้าปาร์ตี้,{0} saat ini menjadi Ketua Party.,{0} agora é o líder do grupo.
LOC_SERVER_GUILD_TEAM_JOIN_TEAM,29,,{0} 加入了队伍,{0} 加入了隊伍,{0} has joined the party.,{0} 님이 파티에 가입했습니다.,{0} เข้าร่วมปาร์ตี้แล้ว,{0} telah bergabung ke dalam Party.,{0} entrou no grupo.
