_ID,_VALUE,Name_10:string[],Name_11:string[],Name_11_CNT:string[],Name_11_EN:string[],Name_11_TH:string[],Name_11_KR:string[],Name_20:string[],Name_21:string[],Name_21_CNT:string[],Name_21_EN:string[],Name_21_TH:string[],Name_21_KR:string[]
ROBOT_NAME,1,xoxo,颜色那么淡,顏色那麼淡,Aaron,Aaron,가공한,Dai,8,8,Aaliyah,Aaliyah,가고일
,,Xavier,关于你的歌,關於你的歌,Abdul,Abdul,가까운,Dales,66,66,Aarushi,Aarushi,갈리온
,,XPiano,一滴泪,一滴淚,Abe,Abe,가난한,Diane.,88,88,Abagail,Abagail,갈퀴뿔
,,worryabout,再見過去,再見過去,Abel,Abel,가냘픈,Dap,23,23,Abbey,Abbey,개미알
,,WonderBoy,沉默说不痛,沉默說不痛,Abraham,Abraham,가득한,Dol,24,24,Abbi,Abbi,거북이
,,Whoheart,小乖,小乖,Abram,Abram,가벼운,Dom,33,33,Abbie,Abbie,고드름
,,WhiteIn,香远,香遠,Adalberto,Adalberto,가엾은,Don,1,1,Abby,Abby,고렘
,,what,丽影,麗影,Adam,Adam,가파른,Dora,Go,Go,Abi,Abi,고블린
,,WeAreOne,丫头,丫頭,Adan,Adan,간단한,Ed,X,X,Abia,Abia,고우트
,,Waiting,阿木,阿木,Adolfo,Adolfo,간사한,Eden,zzz,zzz,Abigail,Abigail,곰인형
,,VIP,银铃,銀鈴,Adolph,Adolph,간편한,Edith,Z,Z,Abree,Abree,구미호
,,Verycold,小芳,小芳,Adrian,Adrian,감사한,Eil,J,J,Abrianna,Abrianna,그렘린
,,uperficial,芳芳,芳芳,Agustin,Agustin,갑갑한,Elaine,K,K,Abrielle,Abrielle,그로브
,,Unlock now,小八,小八,Ahmad,Ahmad,강력한,Eliza,V,V,Aby,Aby,그리슬
,,TroubleFriend,八酱,八醬,Ahmed,Ahmed,강렬한,Ella,萌,萌,Acacia,Acacia,그리폰
,,Tristeanima,喵酱,喵醬,Al,Al,거대한,Ellen,冷,冷,Ada,Ada,나사린
,,Triste,小笨蛋,小笨蛋,Alan,Alan,거뜬한,Elma,皇族,皇族,Adalia,Adalia,노란풀
,,Too ha,丹尼丝,丹尼絲,Albert,Albert,거짓된,Elsa,古墓,古墓,Adaline,Adaline,노버스
,,Tired,燕尾蝶,燕尾蝶,Alberto,Alberto,거칠은,Ethel,莎,莎,Adalyn,Adalyn,눈토끼
,,Thesupreme,姑娘,姑娘,Alden,Alden,건강한,Eud,洛,洛,Addie,Addie,데니로
,,Tenderness,小妞,小妞,Aldo,Aldo,건방진,Eunice,专属,專屬,Addilyn,Addilyn,데빌링
,,Tenderne,小小,小小,Alec,Alec,건전한,Eve,完美,完美,Addison,Addison,데이빗
,,TellMeWhy,玲玲,玲玲,Alejandro,Alejandro,건조한,Faith,冰激凌,冰激凌,Adelaide,Adelaide,도깨비
,,TearsIllusion,啊绫,啊綾,Allexia,Allexia,걸쭉한,Fan,红尘,紅塵,Adele,Adele,도로루
,,Sweet,美人,美人,Alexander,Alexander,게으른,Flo,经典,經典,Adelene,Adelene,듀라한
,,SUPERman,妖精,妖精,Allexis,Allexis,경박한,Flora,回忆,回憶,Adelia,Adelia,드라코
,,Superficia,娜娜,娜娜,Alfonso,Alfonso,고달픈,Fran,独恋,獨戀,Adelina,Adelina,드릴러
,,sunshine,小娜,小娜,Alfonzo,Alfonzo,고마운,Fred,传说,傳說,Adeline,Adeline,디미크
,,sunset,莎,莎,Alfred,Alfred,고상한,Freda,可爱,可愛,Adelynn,Adelynn,디와이
,,sunbeam,小鱼,小魚,Alfredo,Alfredo,고소한,Gab,单身,單身,Adison,Adison,디이터
,,summer,潇雨,瀟雨,Alibar,Alibar,고약한,Gail,恋,戀,Adora,Adora,디타르
